--- Summary Report ---

Data Summary for Event_Type per State:
              Event_Type                State  Count
               Lightning            LOUISIANA     10
               Lightning                MAINE      2
               Lightning             MARYLAND      3
               Lightning        MASSACHUSETTS     24
               Lightning             MICHIGAN      4
               Lightning            MINNESOTA     14
               Lightning          MISSISSIPPI      9
               Lightning             MISSOURI      9
               Lightning              MONTANA      3
               Lightning             NEBRASKA      1
               Lightning               NEVADA      4
               Lightning        NEW HAMPSHIRE      4
               Lightning           NEW JERSEY     19
               Lightning           NEW MEXICO      5
               Lightning             NEW YORK      6
               Lightning       NORTH CAROLINA     10
               Lightning                 OHIO      2
               Lightning             OKLAHOMA      5
               Lightning               OREGON      3
               Lightning         PENNSYLVANIA     18
               Lightning          PUERTO RICO      2
               Lightning         RHODE ISLAND      2
               Lightning       SOUTH CAROLINA      9
               Lightning            TENNESSEE     19
               Lightning                TEXAS     44
               Lightning                 UTAH      5
               Lightning              VERMONT      2
               Lightning             VIRGINIA     15
               Lightning           WASHINGTON      7
               Lightning        WEST VIRGINIA      4
               Lightning            WISCONSIN     11
               Lightning              WYOMING      1
        Marine Dense Fog       GULF OF MEXICO      1
             Marine Hail       ATLANTIC SOUTH      1
             Marine Hail       GULF OF MEXICO      7
             Marine Hail           LAKE HURON      1
             Marine Hail        LAKE MICHIGAN      3
             Marine Hail        LAKE SUPERIOR      6
        Marine High Wind       ATLANTIC NORTH      4
        Marine High Wind       ATLANTIC SOUTH      1
        Marine High Wind       GULF OF MEXICO     10
        Marine High Wind        LAKE SUPERIOR     17
      Marine Strong Wind       ATLANTIC SOUTH      3
      Marine Strong Wind            E PACIFIC      3
      Marine Strong Wind       GULF OF MEXICO      1
Marine Thunderstorm Wind       ATLANTIC NORTH    387
Marine Thunderstorm Wind       ATLANTIC SOUTH    208
Marine Thunderstorm Wind       GULF OF MEXICO    480
Marine Thunderstorm Wind            LAKE ERIE      7
Marine Thunderstorm Wind           LAKE HURON     24
Marine Thunderstorm Wind        LAKE MICHIGAN    100
Marine Thunderstorm Wind        LAKE ST CLAIR     20
Marine Thunderstorm Wind        LAKE SUPERIOR     57
             Rip Current              ALABAMA      2
             Rip Current              FLORIDA     34
             Rip Current              GEORGIA      3
             Rip Current                 GUAM      4
             Rip Current              INDIANA      1
             Rip Current             MICHIGAN      2
             Rip Current       NORTH CAROLINA      6
             Rip Current               OREGON      2
             Rip Current          PUERTO RICO      2
             Rip Current       SOUTH CAROLINA      7
                   Sleet              ALABAMA      4
                   Sleet                TEXAS      5
             Sneakerwave           CALIFORNIA      2
        Storm Surge/Tide              FLORIDA      3
             Strong Wind              ALABAMA     26
             Strong Wind               ALASKA      2
             Strong Wind              ARIZONA      3
             Strong Wind             ARKANSAS     45
             Strong Wind           CALIFORNIA     67
             Strong Wind          CONNECTICUT      6
             Strong Wind             DELAWARE     23
             Strong Wind              FLORIDA     14
             Strong Wind              GEORGIA     21
             Strong Wind                 GUAM      1
             Strong Wind               HAWAII     13
             Strong Wind                IDAHO      9
             Strong Wind             ILLINOIS     14
             Strong Wind              INDIANA      2
             Strong Wind             KENTUCKY     27
             Strong Wind            LOUISIANA      2
             Strong Wind                MAINE     18
             Strong Wind             MARYLAND     19
             Strong Wind        MASSACHUSETTS     35
             Strong Wind             MICHIGAN      1
             Strong Wind            MINNESOTA      1
             Strong Wind          MISSISSIPPI     16
             Strong Wind             MISSOURI     14
             Strong Wind              MONTANA      8
             Strong Wind               NEVADA      5
             Strong Wind        NEW HAMPSHIRE     18
             Strong Wind           NEW JERSEY    101
             Strong Wind           NEW MEXICO      2
             Strong Wind             NEW YORK     25
             Strong Wind       NORTH CAROLINA     32
             Strong Wind                 OHIO      1
             Strong Wind               OREGON      4
             Strong Wind         PENNSYLVANIA     45
             Strong Wind         RHODE ISLAND      8
             Strong Wind       SOUTH CAROLINA     33
             Strong Wind            TENNESSEE     25
             Strong Wind                TEXAS     11
             Strong Wind                 UTAH      1
             Strong Wind              VERMONT     25
             Strong Wind             VIRGINIA      1
             Strong Wind           WASHINGTON     11
             Strong Wind        WEST VIRGINIA      2
             Strong Wind            WISCONSIN     34
       Thunderstorm Wind              ALABAMA    404
       Thunderstorm Wind              ARIZONA     99
       Thunderstorm Wind             ARKANSAS    319
       Thunderstorm Wind           CALIFORNIA     30
       Thunderstorm Wind             COLORADO     56
       Thunderstorm Wind          CONNECTICUT     48
       Thunderstorm Wind             DELAWARE     23
       Thunderstorm Wind DISTRICT OF COLUMBIA      6
       Thunderstorm Wind              FLORIDA    196
       Thunderstorm Wind              GEORGIA    454
       Thunderstorm Wind               HAWAII      4
       Thunderstorm Wind                IDAHO     47
       Thunderstorm Wind             ILLINOIS    512
       Thunderstorm Wind              INDIANA    404
       Thunderstorm Wind                 IOWA    430
